Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM340667,0,0.0293058984833565,0,0,0.0665418472477178,0.136990636580505,0.13708700946391,0,0.199640623932618,0,0.0841147842076055,0,0,0.0462213570180958,0,0.211009337919132,0,0.089088505147059,0,0,0,0,0.63,0.0136932321656283,1.09148401448962
GSM340668,0.242762905069725,0,0,0,0.0390571132085005,0.334999431041423,0,0.0284638893207363,0.202564253685094,0,0.108274150522119,0,0.000779682428122745,0.0235406302102594,0,0,0,0.0112266766706899,0.00833126784333073,0,0,0,0.45,0.0311299047400682,1.13477628207599
GSM340669,0.14008276486593,0,0.0167878697653627,0,0,0.254760967830617,0.109028662331645,0,0,0,0.0203240833689725,0,0,0,0.0148131292379796,0.0826907328144853,0.205782397372942,0.0844351367347251,0.0252456932797112,0,0,0.0460485623976296,0.56,0.0217526534539078,1.06780714492139
GSM340670,0.021391850631236,0,0.274659509212156,0,0,0.133038525185893,0.0140392293128501,0.0101351301728807,0.0864470083772898,0.0636498206355166,0,0.0179404179035811,0.00328458175167822,0,0.0423840027832687,0.225694648538625,0,0.0690781955037807,0.038257079991244,0,0,0,0.56,0.0201921027225442,1.05334630652413
GSM340671,0,0.0887463940068858,0,0.0843194696526843,0,0,0.212521938904052,0,0.201482269506876,0,0.0236147345269148,0.0387141205156407,0,0,0,0.0111157771532483,0,0.227254732471556,0.0678485928497475,0,0,0.0443819704123947,0.26,0.0741607156056833,1.07027484352926
GSM340675,0.0737843435378721,0,0.010439561494027,0,0,0.18176258657086,0,0,0.31407444172243,0,0.090023415799443,0.012702284610848,0.0512431679450607,0.00703250458510034,0,0.0316800662260104,0,0.210637017880088,0,0.0155183470512651,0.00110226257699585,0,0.27,0.0674592494543058,1.08652448863611
GSM340676,0.0361437335716338,0,0,0,0.0513681925223949,0,0.161797825501671,0,0.18710304978274,0.0352449686366808,0.0558038672460132,0,0,0,0.0549013129498061,0.0890138940745378,0.138679677940343,0.146412721038898,0.0435307567352822,0,0,0,0.35,0.0484534355761806,1.06840406533691
GSM340679,0.0218129148780948,0,0.188641700593659,0.00221229840371719,0,0,0.0468841688647051,0.085527195999657,0.121657638786478,0.0944407329756259,0,0,0,0.0915767997790597,0.088684866177654,0.115598659253239,0,0.0525424391500078,0.090420585138102,0,0,0,0.15,0.0981309690687253,1.03151064994359
GSM340680,0.0858900583269664,0,0,0,0,0.151904467415826,0.181052028718773,0,0.139477333310891,0,0.0710596170241957,0,0.0396807385553894,0.0166740935902354,0.0894719276296524,0,0,0.191146256469902,0.0336434789581681,0,0,0,0.41,0.0368007405480046,1.09192184417353
GSM340681,0,0.0244894214676463,0.188955752342329,0,0.0185567348855882,0,0.0446572443142699,0.0496366041336792,0.116859743005392,0.0320205982488759,0.0398870019909796,0,0.0184122024751088,0.0343866554806072,0.0134750560046567,0.0527425622169093,0,0.332530628448261,0.0311593101960525,0,0,0.00223048478964364,0.14,0.101192466920507,1.0538007827953
