"Gene"
"ILMN_1855346|"
"ILMN_1711615|LOC651012"
"ILMN_1737435|FOXD3"
"ILMN_1817218|"
"ILMN_1757259|OR8B4"
"ILMN_1656371|TRPA1"
"ILMN_1808404|RHBDF1"
"ILMN_1763264|MRPL2"
"ILMN_1794726|RNF167"
"ILMN_1825160|"
"ILMN_1799942|OR4F15"
"ILMN_1786920|JARID1A"
"ILMN_1684721|ZNF691"
"ILMN_1847791|"
"ILMN_1785644|C20orf29"
"ILMN_1744347|LOC127295"
"ILMN_1683162|LOC653260"
"ILMN_1811077|LHFPL2"
"ILMN_1832265|"
"ILMN_1658427|FLJ20297"
"ILMN_1664466|KLHL9"
"ILMN_1742163|LOC441087"
"ILMN_1889460|"
"ILMN_1855503|"
"ILMN_1744275|OR2D2"
"ILMN_1832421|"
"ILMN_1853116|"
"ILMN_1820268|"
"ILMN_1751615|COQ10B"
"ILMN_1692715|H2AFB3"
"ILMN_1875348|"
"ILMN_1689755|LOC649021"
"ILMN_1839089|"
"ILMN_1737360|TSPYL3"
"ILMN_1794132|NDUFS8"
"ILMN_1881622|"
"ILMN_1903730|"
"ILMN_1767643|CTRB2"
"ILMN_1798980|CAPZB"
"ILMN_1860684|"
"ILMN_1686416|GRIP2"
"ILMN_1673660|GUSBL2"
"ILMN_1899848|"
"ILMN_1684086|BDKRB2"
"ILMN_1784141|JAKMIP1"
"ILMN_1866433|"
"ILMN_1828794|"
"ILMN_1662123|LOC387720"
"ILMN_1734952|MRPS35"
"ILMN_1728385|SRP19"
"ILMN_1792671|C12orf29"
"ILMN_1881890|"
"ILMN_1689747|NOL8"
"ILMN_1816390|"
"ILMN_1839095|"
"ILMN_1830723|"
"ILMN_1821472|"
"ILMN_1825848|"
"ILMN_1771488|OR12D2"
"ILMN_1878273|"
"ILMN_1811479|SPINK6"
"ILMN_1796793|MGC2752"
"ILMN_1772780|TCP11L2"
"ILMN_1733864|SLC35F4"
"ILMN_1753207|FZR1"
"ILMN_1680156|CXorf27"
"ILMN_1672935|HSFY1"
"ILMN_1667388|OR13C8"
"ILMN_1705648|LOC645529"
"ILMN_1789001|SLC35B2"
"ILMN_1775240|FAM9C"
"ILMN_1830984|"
"ILMN_1838160|"
"ILMN_1675100|EDNRB"
"ILMN_1843993|"
"ILMN_1819685|"
"ILMN_1730740|VSIG8"
"ILMN_1774722|CGREF1"
"ILMN_1796801|ABCA8"
"ILMN_1770206|GEMIN4"
"ILMN_1759698|LOC642372"
"ILMN_1723185|ELOF1"
"ILMN_1676748|ERCC1"
"ILMN_1907448|"
"ILMN_1866621|"
"ILMN_1915551|"
"ILMN_1676383|ENPP6"
"ILMN_1657914|LOC642568"
"ILMN_1678165|LSM7"
"ILMN_1819451|"
"ILMN_1756595|SH3TC1"
"ILMN_1912344|"
"ILMN_1871756|"
"ILMN_1863012|"
"ILMN_1854257|"
"ILMN_1693363|LOC652859"
"ILMN_1870893|"
"ILMN_1684526|KRTAP15-1"
"ILMN_1840341|"
"ILMN_1695366|OR8U9"
"ILMN_1756338|SFXN3"
"ILMN_1680070|LOC642724"
"ILMN_1793263|C1orf94"
"ILMN_1679176|CLCA4"
"ILMN_1907307|"
"ILMN_1676905|TIGD7"
"ILMN_1673141|IGSF10"
"ILMN_1749827|NT5C1B"
"ILMN_1815047|XRCC4"
"ILMN_1653368|LOC645238"
"ILMN_1664679|CADM2"
"ILMN_1842642|"
"ILMN_1840850|"
"ILMN_1870877|"
"ILMN_1684933|MC3R"
"ILMN_1747492|LOC651513"
"ILMN_1836884|"
"ILMN_1891681|"
"ILMN_1651984|LOC653648"
"ILMN_1820059|"
"ILMN_1791544|LSM2"
"ILMN_1841810|"
"ILMN_1652653|KIAA1683"
"ILMN_1683697|LOC643330"
"ILMN_1673544|C1orf83"
"ILMN_1667517|LOC648907"
"ILMN_1914002|"
"ILMN_1736471|LOC401097"
"ILMN_1904855|"
