geneName	GSM340547	GSM340548	GSM340549	GSM340550	GSM340551	GSM340552	GSM340553	GSM340554	GSM340555	GSM340556	GSM340557	GSM340558	GSM340559	GSM340560	GSM340561	GSM340562	GSM340563	GSM340564	GSM340565	GSM340566	GSM340567	GSM340568	GSM340569	GSM340570	GSM340571	GSM340572	GSM340573	GSM340574	GSM340575	GSM340576	GSM340577	GSM340578	GSM340579	GSM340580	GSM340581	GSM340582	GSM340583	GSM340584	GSM340585	GSM340586	GSM340587	GSM340588	GSM340589	GSM340590	GSM340591	GSM340592	GSM340593	GSM340594	GSM340595	GSM340596	GSM340597	GSM340598	GSM340599	GSM340600	GSM340601	GSM340602	GSM340603	GSM340604
ARHGAP22	242.190757561753	135.298309191857	186.108482217	167.73035569387	143.012753673244	232.324903761193	198.088319173426	232.324903761193	170.071784204353	159.786310259406	212.305803728497	199.466132393088	163.143760296866	160.897711938794	179.768944094464	259.573626826247	181.019335983756	190.019017040518	176.069352721887	176.069352721887	196.720023204866	213.782507373663	200.853529061568	205.073888662943	219.792751728065	196.720023204866	198.088319173426	333.143514993135	176.069352721887	196.720023204866	166.571757496567	227.543726378642	172.445897838808	188.706459813261	166.571757496567	212.305803728497	149.085899067962	174.853152864563	158.68258559219	173.645353913302	179.768944094464	181.019335983756	168.897012578931	221.321531214813	191.340703825272	195.361178746952	177.294011918198	194.011720513331	184.82293702688	202.250575837025	184.82293702688	173.645353913302	172.445897838808	221.321531214813	195.361178746952	227.543726378642	125.365798091127	172.445897838808
ARRB1	481.035647597574	235.568038559968	477.712891666846	572.051014692977	448.82212931381	648.067376112783	300.245747003361	541.193236767427	436.549064585194	427.565014747325	501.463192364507	657.114059552207	625.991822178339	404.501151674049	439.58550345613	572.051014692977	494.559400409521	424.611607456994	216.766799964807	519.147253652495	427.565014747325	504.9511447006	347.290707826604	367.092543492052	308.686803888835	508.463357663762	487.750654998496	530.055641006786	382.681407650544	464.649807522386	497.99933307509	596.34359627185	494.559400409521	474.41308768787	487.750654998496	393.440046409731	704.277410887549	225.971967050408	572.051014692977	451.943934100815	369.645874053759	382.681407650544	685.018908050489	464.649807522386	474.41308768787	401.707058123136	445.721888407616	481.035647597574	372.216964433999	324.033688056392	430.538964609902	377.412919626522	280.139187522749	487.750654998496	330.842324643198	458.252836315122	797.864529572352	418.765853981584
ASGR1	461.440236856745	203.657339841259	230.720118428372	427.565014747325	176.069352721887	501.463192364507	982.28645818907	261.379104181041	192.671583668617	439.58550345613	278.204124806671	288.014972080335	261.379104181041	237.206543843935	372.216964433999	278.204124806671	278.204124806671	259.573626826247	202.250575837025	310.833890405132	455.087452757284	259.573626826247	382.681407650544	359.537888188927	243.875327499248	364.55685007285	407.314679682518	879.171006912259	284.049784849368	382.681407650544	359.537888188927	421.678600840998	613.109096764891	276.282428545133	714.108757171408	537.454942015011	385.343167337233	263.197139623953	237.206543843935	689.783591355233	359.537888188927	354.588023836397	317.365171184381	541.193236767427	235.568038559968	477.712891666846	229.126418157561	308.686803888835	210.839300420499	148.056087539877	243.875327499248	225.971967050408	274.374006409291	471.136077119936	266.871234775327	233.940851258727	382.681407650544	308.686803888835
ASGR2	136.23938335403	147.03338943962	121.937663749624	132.513910251696	132.513910251696	132.513910251696	112.205532328452	142.024892424684	124.499833268773	124.499833268773	134.363735503753	136.23938335403	140.069593761375	124.499833268773	119.428222916711	126.23778617515	133.435617387664	142.024892424684	132.513910251696	128	135.298309191857	140.069593761375	129.786813413124	149.085899067962	138.141214272567	140.069593761375	145.009137317862	224.411064656905	128	147.03338943962	130.689552090521	131.598569811977	157.586484908149	142.024892424684	150.122873501681	162.016844028196	126.23778617515	130.689552090521	132.513910251696	152.218510720348	143.012753673244	148.056087539877	135.298309191857	143.012753673244	140.069593761375	166.571757496567	138.141214272567	151.16706066298	116.970425629363	141.043854832206	115.360059214186	120.258911899394	129.786813413124	159.786310259406	125.365798091127	121.937663749624	121.937663749624	122.785807273634
ATHL1	2702.35220126289	519.147253652495	694.581415653208	541.193236767427	232.324903761193	464.649807522386	2225.63299845337	885.286124859253	1209.33648530384	1260.69187926519	666.28702998627	1807.77573640326	1234.74721555534	306.554548382446	1209.33648530384	2105.57711699162	1978.23760163808	1278.29048207525	1663.49290773757	1389.16283130642	749.611876324161	1067.48493910131	1562.88942997561	2538.92136947505	4870.99234305115	1144.10202938595	1652.00232288691	2628.45623820883	849.223214913988	2435.49617152557	1573.76018563892	3125.77885995122	1509.65167850609	910.174905514568	1105.12971418053	2385.3743850874	552.564857090267	380.038034081037	843.357201681995	2368.89740063803	630.345939632597	1234.74721555534	1176.26711551696	2740.07563220196	1136.19913939747	1663.49290773757	754.825839253044	451.943934100815	588.133557758482	580.036549271449	1192.6871925437	344.891795677617	1305.15008237492	1136.19913939747	2336.28409009853	1978.23760163808	1009.9022894012	922.88047371349
ATP8B4	233.940851258727	229.126418157561	704.277410887549	666.28702998627	501.463192364507	418.765853981584	207.936613467196	556.408249613341	652.575041187462	501.463192364507	613.109096764891	467.881702517453	467.881702517453	533.742469550654	401.707058123136	512	326.287520593731	508.463357663762	238.856445833423	315.172969816299	1105.12971418053	415.873226934392	398.932264786176	512	377.412919626522	515.56124162904	1209.33648530384	657.114059552207	680.287136817414	1573.76018563892	477.712891666846	572.051014692977	1184.44870031901	484.381515123505	501.463192364507	685.018908050489	418.765853981584	292.035511262316	410.147777325886	754.825839253044	362.038671967512	1082.38647353485	481.035647597574	1031.12248325808	634.730342368761	968.76303024701	300.245747003361	600.491494006722	385.343167337233	171.254727012622	364.55685007285	467.881702517453	237.206543843935	643.590847755176	385.343167337233	522.758208362083	294.066778879241	685.018908050489
AZU1	131.598569811977	144.007486040168	121.937663749624	125.365798091127	160.897711938794	134.363735503753	136.23938335403	127.115839415941	151.16706066298	139.102062403335	141.043854832206	144.007486040168	139.102062403335	132.513910251696	137.187003204645	147.03338943962	127.115839415941	107.634741152475	129.786813413124	132.513910251696	145.009137317862	132.513910251696	130.689552090521	131.598569811977	129.786813413124	130.689552090521	149.085899067962	147.03338943962	128	133.435617387664	124.499833268773	131.598569811977	135.298309191857	121.937663749624	134.363735503753	126.23778617515	127.115839415941	134.363735503753	131.598569811977	134.363735503753	134.363735503753	128	118.603271921967	128.89031040726	132.513910251696	121.095378780876	115.360059214186	122.785807273634	139.102062403335	124.499833268773	135.298309191857	133.435617387664	116.162451880597	147.03338943962	142.024892424684	144.007486040168	150.122873501681	142.024892424684
BACH2	145.129799856404	145.430845524169	154.87416615969	130.689552090521	164.282461309233	152.647005959099	161.542781378985	162.389040706163	141.440893405009	145.106606039374	155.737140154063	159.772049802332	166.355478560382	186.126365779643	162.658663116187	324.502111579655	162.933395929543	147.285878748283	154.954823195508	140.92830637675	161.962499715107	149.788412039954	159.509943040306	332.87059123727	544.121074502609	148.289688842265	190.734830481976	166.479703279448	180.211796809074	180.387143002488	169.28501487201	174.105596337553	182.938713155732	167.869924626441	149.072593591038	398.71655288321	133.897472295748	208.719923607461	176.228242754798	164.847124977916	151.871731635911	165.135049033564	146.150110255551	174.852290345684	159.772049802332	178.634417432844	150.705461415313	156.14142717308	149.542833874131	155.094388177337	147.259503802951	154.608370691687	136.600482241275	169.225764843327	161.26733766651	168.520723873614	131.627022955507	176.919418955435
BANK1	242.190757561753	286.025507346488	415.873226934392	592.224350159507	233.940851258727	364.55685007285	235.568038559968	433.533599929614	657.114059552207	556.408249613341	357.054378585704	410.147777325886	471.136077119936	504.9511447006	484.381515123505	1698.44642982798	580.036549271449	436.549064585194	415.873226934392	436.549064585194	274.374006409291	544.95753341612	377.412919626522	1698.44642982798	2225.63299845337	560.278375045499	639.145241037625	734.185086984103	238.856445833423	212.305803728497	1160.0730985429	1251.98364435668	209.382926990792	544.95753341612	661.684649286396	2683.68569110193	826.001161443457	596.34359627185	948.82617537574	362.038671967512	494.559400409521	354.588023836397	617.373607777669	259.573626826247	849.223214913988	290.018274635724	576.02994416067	770.686334674466	704.277410887549	404.501151674049	474.41308768787	652.575041187462	464.649807522386	451.943934100815	541.193236767427	451.943934100815	212.305803728497	256
BARX2	125.365798091127	198.088319173426	123.63985010238	134.363735503753	125.365798091127	112.205532328452	533.742469550654	142.024892424684	134.363735503753	162.016844028196	141.043854832206	150.122873501681	146.017755631158	146.017755631158	139.102062403335	133.435617387664	140.069593761375	135.298309191857	430.538964609902	143.012753673244	130.689552090521	130.689552090521	146.017755631158	145.009137317862	166.571757496567	144.007486040168	148.056087539877	131.598569811977	138.141214272567	128	145.009137317862	136.23938335403	132.513910251696	132.513910251696	130.689552090521	143.012753673244	128	131.598569811977	143.012753673244	140.069593761375	151.16706066298	136.23938335403	152.218510720348	156.497955544585	148.056087539877	122.785807273634	135.298309191857	126.23778617515	138.141214272567	137.187003204645	118.603271921967	117.784019279984	133.435617387664	128.89031040726	147.03338943962	120.258911899394	144.007486040168	127.115839415941
BCL11B	149.085899067962	843.357201681995	335.460711387741	312.995911089169	138.141214272567	181.019335983756	709.176047672794	300.245747003361	424.611607456994	342.509454025245	380.038034081037	396.176638346852	278.204124806671	218.274532292597	235.568038559968	494.559400409521	265.027820503393	352.138705443775	699.41261145825	484.381515123505	194.011720513331	398.932264786176	326.287520593731	897.64425862762	849.223214913988	312.995911089169	263.197139623953	491.143229094535	187.40296908104	213.782507373663	474.41308768787	352.138705443775	164.278514888052	326.287520593731	367.092543492052	464.649807522386	393.440046409731	315.172969816299	407.314679682518	278.204124806671	552.564857090267	187.40296908104	164.278514888052	221.321531214813	424.611607456994	187.40296908104	362.038671967512	445.721888407616	364.55685007285	142.024892424684	439.58550345613	537.454942015011	458.252836315122	286.025507346488	533.742469550654	427.565014747325	184.82293702688	213.782507373663
