geneName	GSM340537	GSM340538	GSM340539	GSM340540	GSM340541	GSM340542	GSM340543	GSM340544	GSM340545	GSM340546
CHI3L1	130.689552090521	112.985983525204	118.603271921967	121.937663749624	112.985983525204	143.012753673244	129.786813413124	109.137266146298	120.258911899394	119.428222916711
CHI3L2	130.689552090521	118.603271921967	202.250575837025	232.324903761193	129.786813413124	218.274532292597	144.007486040168	127.115839415941	135.298309191857	143.012753673244
CHST7	448.82212931381	302.33412132596	382.681407650544	451.943934100815	256	792.353276693704	617.373607777669	564.175419328825	308.686803888835	278.204124806671
CLC	147.03338943962	143.012753673244	140.069593761375	163.143760296866	155.416945202566	168.897012578931	182.278425036425	153.277274191223	139.102062403335	158.68258559219
CLEC10A	138.141214272567	194.011720513331	179.768944094464	183.546271746026	168.897012578931	141.043854832206	232.324903761193	167.73035569387	177.294011918198	157.586484908149
CLEC2D	12975.2154001484	11841.2375029604	13434.2931153879	10895.6404763465	12387.1890576436	13742.7148934494	12859.9308521357	12612.1112916002	12933.6524270993	13304.6663682243
CLEC4A	254.231678831881	304.437021440697	369.645874053759	284.049784849368	274.374006409291	186.108482217	330.842324643198	342.509454025245	235.568038559968	290.018274635724
CLEC7A	168.897012578931	149.085899067962	162.016844028196	146.017755631158	166.571757496567	190.019017040518	177.294011918198	165.421162321599	158.68258559219	184.82293702688
CLIC2	232.324903761193	266.871234775327	240.517823798787	222.860944203808	192.671583668617	317.365171184381	344.891795677617	224.411064656905	250.731596182253	237.206543843935
CMA1	156.497955544585	170.071784204353	164.278514888052	149.085899067962	153.277274191223	159.786310259406	172.445897838808	168.897012578931	164.278514888052	145.009137317862
COL8A2	584.071022524633	568.099569698737	781.444714987806	560.278375045499	407.314679682518	765.362815301089	1097.49602563716	491.143229094535	1031.12248325808	588.133557758482
COLQ	278.204124806671	304.437021440697	257.78062081452	261.379104181041	250.731596182253	257.78062081452	369.645874053759	282.087709664412	319.572620518813	328.557029776103
CPA3	354.588023836397	445.721888407616	310.833890405132	843.357201681995	232.324903761193	232.324903761193	1184.44870031901	145.009137317862	290.018274635724	157.586484908149
CR2	133.435617387664	131.598569811977	140.069593761375	116.970425629363	168.897012578931	178.527189292852	128	122.785807273634	127.115839415941	121.937663749624
CREB5	396.176638346852	198.088319173426	192.671583668617	156.497955544585	210.839300420499	254.231678831881	670.921422775482	982.28645818907	199.466132393088	200.853529061568
CRISP3	354.588023836397	230.720118428372	418.765853981584	232.324903761193	362.038671967512	151.16706066298	139.102062403335	155.416945202566	424.611607456994	352.138705443775
CRTAM	172.445897838808	158.68258559219	165.421162321599	151.16706066298	155.416945202566	130.689552090521	147.03338943962	148.056087539877	170.071784204353	149.085899067962
CRYBB1	133.435617387664	142.024892424684	166.571757496567	146.017755631158	152.218510720348	153.277274191223	143.012753673244	142.024892424684	146.017755631158	139.102062403335
CSF1	155.416945202566	142.024892424684	150.122873501681	146.017755631158	138.141214272567	380.038034081037	167.73035569387	194.011720513331	137.187003204645	147.03338943962
CSF2	145.009137317862	147.03338943962	144.007486040168	139.102062403335	132.513910251696	131.598569811977	150.122873501681	135.298309191857	139.102062403335	126.23778617515
